K,¬sall,¬snone,¬sany,sall,snone,sany
0,0.0022442590270657092,0.001886954007204622,0.001423701993189752,0.0014091049961280078,0.0017058580124285072,0.001675198000157252
0,0.0013940890203230083,0.0021184069919399917,0.001505344989709556,0.0014009340084157884,0.0014519869873765856,0.0014158090052660555
0,0.0016536170151084661,0.0016370649973396212,0.001457923004636541,0.0014033090265002102,0.001454641023883596,0.0014821579970885068
0,0.0017032730102073401,0.0017138190160039812,0.0018607650126796216,0.0014570850180462003,0.0015235739992931485,0.0013978609931655228
0,0.0014575039967894554,0.0015290910087060183,0.0014768500113859773,0.0014070799807086587,0.0014606470067519695,0.0015835670055821538
0,0.001401842018822208,0.0014951479970477521,0.0014343880175147206,0.0014017719950061291,0.0014229330117814243,0.0014062410045880824
0,0.0014498920063488185,0.001539147982839495,0.0015181960188783705,0.0016228870081249624,0.0016290330095216632,0.0015783979906700552
0,0.001497452991316095,0.0014755940064787865,0.0016264489968307316,0.0014481460093520582,0.0017734639986883849,0.0018307330028619617
0,0.0014785259845666587,0.0015878270205575973,0.001538031006930396,0.001515123003628105,0.0016834390116855502,0.0014319430047180504
0,0.0014362029905896634,0.0018817170057445765,0.0014651870005764067,0.0013780950102955103,0.0014738469908479601,0.001415670005371794
0,0.0015476690023206174,0.0015648489934392273,0.0014165079919621348,0.0013457589957397431,0.0014839039940852672,0.0014540819975081831
0,0.0014243299956433475,0.0015103740151971579,0.0014334100123960525,0.0015399160038214177,0.0018694949976634234,0.0017080230172723532
0,0.0014111999771557748,0.0015962769975885749,0.0013810989912599325,0.001397650979924947,0.0014427679998334497,0.001401282992446795
0,0.0014445839915424585,0.0015783990093041211,0.0015267170092556626,0.0017499269742984325,0.0014294279972091317,0.0018459580023773015
0,0.001451638003345579,0.0015296500059776008,0.0018099900044035167,0.0014123879955150187,0.001446189999114722,0.0014470280148088932
0,0.001401841000188142,0.0015419419796671718,0.0014217460120562464,0.0013968830171506852,0.0014101520064286888,0.0013991179876029491
0,0.0014988500042818487,0.001470704999519512,0.0015791670011822134,0.001346947014098987,0.0033939759887289256,0.0014614860119763762
0,0.0013667809835169464,0.001558843010570854,0.0014230030064936727,0.0014575739915017039,0.0015457129920832813,0.0014183929888531566
0,0.0014177649863995612,0.0017110259796027094,0.0015247609990183264,0.0017622890009079129,0.0014741269988007843,0.0014628120115958154
0,0.0014700749889016151,0.0015217580075841397,0.00143725099042058,0.001396045001456514,0.0015818210085853934,0.001463302003685385
1,0.001482088991906494,0.0015841260028537363,0.0014658150030300021,0.0014399050269275904,0.0015093270048964769,0.0013967429986223578
1,0.001729464012896642,0.00160249401233159,0.0015621960046701133,0.0014672820107080042,0.0016629049787297845,0.0017079529934562743
1,0.0014729399990756065,0.0016059859772212803,0.0014656059793196619,0.0014111299824435264,0.0015110720123630017,0.0014549900079146028
1,0.001975652005057782,0.0016230969922617078,0.0016008879756554961,0.0014241900062188506,0.0015005269960965961,0.0015062530001159757
1,0.0014345269883051515,0.001556538016302511,0.0015661069774068892,0.001780727005098015,0.0016182769904844463,0.0014705650100950152
1,0.001448983995942399,0.0015765129937790334,0.0016203029954340309,0.001401282992446795,0.0015499729779548943,0.001549693988636136
1,0.002265560004161671,0.0016497060132678598,0.0016520799836143851,0.0014324320072773844,0.0014422100211959332,0.0014645579794887453
1,0.0014503810089081526,0.0016471910057589412,0.0015383800200652331,0.0014864879776723683,0.0015046469925437123,0.0015863599837757647
1,0.0015936940035317093,0.001855595997767523,0.0018945680058095604,0.001447866001399234,0.0016566200065426528,0.001409454009262845
1,0.001452614989830181,0.0016066140087787062,0.001522386010037735,0.0014516370138153434,0.0016509630077052861,0.001502272003563121
