K,¬sall,¬snone,¬sany,sall,snone,sany
0,0.0031232829787768424,0.003250323992688209,0.003949012025259435,0.003187048016116023,0.0032444579992443323,0.0035138329840265214
0,0.003432679019169882,0.003100097004789859,0.003122374997474253,0.0031569470011163503,0.00476223899750039,0.00326086999848485
0,0.003105823998339474,0.0033301519870292395,0.003192775009665638,0.0031100839842110872,0.003285243990831077,0.0033098979911301285
0,0.00307551198056899,0.003157924977131188,0.0032117020164150745,0.003078725014347583,0.0033247740066144615,0.0030585410131607205
0,0.0029719379963353276,0.005217601981712505,0.003621737996581942,0.0031518480100203305,0.0033180690079461783,0.0032063239777926356
0,0.0030147509824018925,0.0031035880092531443,0.003173498989781365,0.0030843120184727013,0.003128801006823778,0.0031478680029977113
0,0.0030789349984843284,0.0034193389874417335,0.0034291859774384648,0.0032357970194425434,0.0031483559869229794,0.003667412995127961
0,0.0032152640051208436,0.0032112829794641584,0.003151220007566735,0.0031669339805375785,0.003383720002602786,0.0035079670196864754
0,0.002951893984572962,0.0030445720185525715,0.003677400993183255,0.003298234980320558,0.0034067679953295738,0.0031722419953439385
0,0.003219664009520784,0.003648905985755846,0.003240407007979229,0.004420646990183741,0.003205347020411864,0.0033528509957250208
0,0.003951806022087112,0.003106031974311918,0.0031483559869229794,0.0031858609872870147,0.0032469019934069365,0.0031193019822239876
0,0.0034895289863925427,0.0032932760077528656,0.003218964993720874,0.0031247499864548445,0.0033184890053234994,0.0031670040043536574
0,0.0031448639929294586,0.003131104982458055,0.0031028900120873004,0.0030107700149528682,0.0035486840060912073,0.0032017839839681983
0,0.0030000839906278998,0.0030163570190779865,0.00378418798209168,0.003141232009511441,0.0032299309968948364,0.003425555012654513
0,0.003589540981920436,0.003547567001078278,0.00335417699534446,0.0029956850048620254,0.004414152004756033,0.0034938589960802346
0,0.0030406620062422007,0.0032240640139207244,0.004876148974290118,0.0033909839985426515,0.0032967680017463863,0.0034173130115959793
0,0.003578714997274801,0.004008656018413603,0.003233002993511036,0.003072578983847052,0.0030679000192321837,0.0032728829828556627
0,0.0029653030214831233,0.0033325959811918437,0.0032033210154622793,0.0032519300002604723,0.003299561998574063,0.0033149970113299787
0,0.0028874310082755983,0.0036556110135279596,0.0031267760205082595,0.0034017389989458025,0.003053023014217615,0.003207442001439631
0,0.003260939003666863,0.003561394987627864,0.003145073977066204,0.0030336079944390804,0.003220780985429883,0.0036938139819540083
1,0.003634518012404442,0.0037629560101777315,0.004240598005708307,0.003352989995619282,0.003312132990686223,0.0032605210144538432
1,0.0037129499833099544,0.0037139980122447014,0.003278819000115618,0.0032299309968948364,0.003214844997273758,0.0038870630087330937
1,0.0031818800198379904,0.003495604993076995,0.003943074989365414,0.0037758070102427155,0.0032895749900490046,0.003675864019896835
1,0.0033305010001640767,0.003571312001440674,0.003495815006317571,0.003186210000421852,0.003117627027677372,0.003364862990565598
1,0.0030810989846941084,0.003948312980355695,0.003467458998784423,0.003705826005898416,0.003227556007914245,0.0038997040246613324
1,0.0034665509883780032,0.0032147750025615096,0.003449579991865903,0.003196127014234662,0.0037336219975259155,0.0038801490154583007
1,0.003731317992787808,0.003233493014704436,0.0036559599975589663,0.0032642919977661222,0.0031982919899746776,0.00330501000280492
1,0.0031116199970711023,0.0032638729899190366,0.003568797983461991,0.0036586140049621463,0.0031436769932042807,0.003201086015906185
