Size,¬sall,¬snone,¬sany,sall,snone,sany
2,0.001315041008638218,0.0012611940037459135,0.0014025520067662,0.0012912949896417558,0.0013579240185208619,0.0013182540133129805
2,0.0013505909882951528,0.0012845910096075386,0.0013060320052318275,0.0013987119891680777,0.001285219012061134,0.0014480889949481934
2,0.0012836130044888705,0.0015721969830337912,0.0012306039861869067,0.0013710539788007736,0.0013535240141209215,0.0012913649843540043
2,0.0012716000201180577,0.0013761520094703883,0.0013130160223226994,0.0012669209972955287,0.00124261699966155,0.001264407008420676
2,0.0013040770136285573,0.0012693649914581329,0.0012828450126107782,0.001360018999548629,0.0012912949896417558,0.0015054279938340187
2,0.0012961140018887818,0.0014565390010830015,0.0013832770055159926,0.0014957199746277183,0.0014172889932524413,0.0013019110192544758
2,0.0013408130034804344,0.0013875369913876057,0.0012847309990320355,0.001410094992024824,0.0012655929895117879,0.001372241007629782
2,0.0013857910234946758,0.001320420007687062,0.001261753001017496,0.0013028889952693135,0.0013851620024070144,0.0012646850082091987
2,0.0013446540106087923,0.0018656009924598038,0.0012944389891345054,0.0013231429911684245,0.001274533977266401,0.001266990992007777
2,0.0013884450017940253,0.001354081992758438,0.0013329200155567378,0.0013996190100442618,0.0013373209803830832,0.0012885709875263274
2,0.0012900379952043295,0.0012595880252774805,0.0013899810146540403,0.0012889209901914,0.001286686019739136,0.001496629003668204
2,0.001319302013143897,0.0012962540204171091,0.0013188129814807326,0.0012715999910142273,0.001377129985485226,0.001261822006199509
2,0.0015404190053232014,0.0012992569827474654,0.001416591025190428,0.0021582360204774886,0.0013041459897067398,0.0012526029895525426
2,0.0013796449929941446,0.0013238420069683343,0.0013448630052153021,0.0013857909943908453,0.0013384380144998431,0.0013422789925243706
2,0.0013198599917814136,0.0015689140127506107,0.0012785150029230863,0.0015791810001246631,0.0012643359950743616,0.0012857780093327165
2,0.0013231429911684245,0.0012801910052075982,0.0013213269994594157,0.001271321001695469,0.0013248189934529364,0.0012953460100106895
2,0.0013817390135955065,0.0013441650080494583,0.0016660639957990497,0.0014085590082686394,0.0012758600059896708,0.0012922740133944899
2,0.0016160570085048676,0.001373777980916202,0.001318951981374994,0.0013441650080494583,0.0012898290005978197,0.0012533720000647008
2,0.001323072996456176,0.0012609139957930893,0.0013245400041341782,0.0012954859994351864,0.0014462730032391846,0.0012748830195050687
2,0.001556412986246869,0.0013373210094869137,0.0014568199985660613,0.0012520440213847905,0.0013003750063944608,0.0012470860092435032
3,0.0013903309882152826,0.0013346670020837337,0.0013630219909828156,0.001487061002990231,0.0012748119770549238,0.0015117139846552163
3,0.0013592509785667062,0.0013061719946563244,0.001365258009172976,0.0014038790250197053,0.0014142160071060061,0.001315670000622049
3,0.0013670730113517493,0.00127676798729226,0.0012997459853067994,0.0012650350108742714,0.0014524190046358854,0.0012844509910792112
3,0.0013939620112068951,0.0013906100066378713,0.001410025986842811,0.00129422900499776,0.0012884320167358965,0.0013120380172040313
3,0.0013425590004771948,0.0013110610016155988,0.0015054980176500976,0.0012929009972140193,0.0013079170021228492,0.0024485659960191697
3,0.0014059749955777079,0.001350311009446159,0.0013617649965453893,0.0014862919924780726,0.0016201779944822192,0.0012929719814565033
3,0.0013531739823520184,0.0014145649911370128,0.001333758991677314,0.0012792130000889301,0.0014572379877790809,0.0013846729998476803
3,0.0016987500130198896,0.0014017839857842773,0.00148112399620004,0.0012657339975703508,0.0013087559782434255,0.0014012250176165253
3,0.001400387001922354,0.001266572013264522,0.0016173839976545423,0.001293111010454595,0.0012984189961571246,0.0013351549860090017
3,0.0013490549754351377,0.0013084759993944317,0.0013428380188997835,0.0014011549938004464,0.001592032000189647,0.0012637079926207662
3,0.0014388700074050575,0.0012613339931704104,0.0013637210067827255,0.001230324007337913,0.001273486006539315,0.001280890021007508
3,0.0014162420120555907,0.0016289780032821,0.0015457969857379794,0.001363580988254398,0.0012625209928955883,0.0013193709892220795
3,0.0017083179845940322,0.0012966729991603643,0.0018379429820924997,0.0016504190280102193,0.0015291750023607165,0.0014490670000668615
